production_lot_id,production_date,factory_id,line_id,product_id,production_qty,pass_qty,started_qty,completed_qty,first_pass_pass_qty,fail_qty,rework_qty,scrap_qty
PLOT-00000112,2026-01-23,FAC-TW,LINE-TW-02,PROD-X200,39,39,39,39,39,0,0,0
PLOT-00000113,2026-01-23,FAC-MX,LINE-MX-01,PROD-X100,43,42,43,43,42,1,1,0
PLOT-00000114,2026-01-23,FAC-MX,LINE-MX-02,PROD-X100,37,35,37,37,35,2,2,0
PLOT-00000115,2026-01-23,FAC-MY,LINE-MY-01,PROD-C100,52,50,52,52,50,2,1,1
PLOT-00000116,2026-01-24,FAC-TW,LINE-TW-01,PROD-X100,55,55,55,55,55,0,0,0
PLOT-00000117,2026-01-24,FAC-TW,LINE-TW-02,PROD-S100,35,35,35,35,35,0,0,0
PLOT-00000118,2026-01-24,FAC-MX,LINE-MX-01,PROD-S100,42,39,42,42,39,3,3,0
PLOT-00000119,2026-01-24,FAC-MX,LINE-MX-02,PROD-X100,50,49,50,50,49,1,1,0
PLOT-00000120,2026-01-24,FAC-MY,LINE-MY-01,PROD-C100,47,43,47,47,43,4,2,1
PLOT-00000121,2026-01-25,FAC-TW,LINE-TW-01,PROD-S100,40,39,40,40,39,1,1,0
PLOT-00000122,2026-01-25,FAC-TW,LINE-TW-02,PROD-X200,47,45,47,47,45,2,0,0
PLOT-00000123,2026-01-25,FAC-MX,LINE-MX-01,PROD-X100,49,45,49,49,45,4,2,1
PLOT-00000124,2026-01-25,FAC-MX,LINE-MX-02,PROD-X100,52,52,52,52,52,0,0,0
PLOT-00000125,2026-01-25,FAC-MY,LINE-MY-01,PROD-N100,50,49,50,50,49,1,0,0
PLOT-00000126,2026-01-26,FAC-TW,LINE-TW-01,PROD-X100,44,44,44,44,44,0,0,0
PLOT-00000127,2026-01-26,FAC-TW,LINE-TW-02,PROD-X100,36,36,36,36,36,0,0,0
PLOT-00000128,2026-01-26,FAC-MX,LINE-MX-01,PROD-X200,52,47,52,52,47,5,5,0
PLOT-00000129,2026-01-26,FAC-MX,LINE-MX-02,PROD-X100,45,44,45,45,44,1,1,0
PLOT-00000130,2026-01-26,FAC-MY,LINE-MY-01,PROD-X100,53,49,53,53,49,4,2,1
PLOT-00000131,2026-01-27,FAC-TW,LINE-TW-01,PROD-X200,51,49,51,51,49,2,0,0
PLOT-00000132,2026-01-27,FAC-TW,LINE-TW-02,PROD-X100,51,50,51,51,50,1,1,0
PLOT-00000133,2026-01-27,FAC-MX,LINE-MX-01,PROD-X100,40,37,40,40,37,3,2,1
PLOT-00000134,2026-01-27,FAC-MX,LINE-MX-02,PROD-X100,37,36,37,37,36,1,0,1
PLOT-00000135,2026-01-27,FAC-MY,LINE-MY-01,PROD-N100,42,40,42,42,40,2,0,2
PLOT-00000136,2026-01-28,FAC-TW,LINE-TW-01,PROD-X200,53,50,53,53,50,3,1,0
PLOT-00000137,2026-01-28,FAC-TW,LINE-TW-02,PROD-X100,54,53,54,54,53,1,0,1
PLOT-00000138,2026-01-28,FAC-MX,LINE-MX-01,PROD-X100,37,34,37,37,34,3,0,0
PLOT-00000139,2026-01-28,FAC-MX,LINE-MX-02,PROD-X100,53,52,53,53,52,1,0,1
PLOT-00000140,2026-01-28,FAC-MY,LINE-MY-01,PROD-C100,45,42,45,45,42,3,3,0
PLOT-00000141,2026-01-29,FAC-TW,LINE-TW-01,PROD-S100,41,41,41,41,41,0,0,0
PLOT-00000142,2026-01-29,FAC-TW,LINE-TW-02,PROD-C100,45,45,45,45,45,0,0,0
PLOT-00000143,2026-01-29,FAC-MX,LINE-MX-01,PROD-X100,47,46,47,47,46,1,0,1
PLOT-00000144,2026-01-29,FAC-MX,LINE-MX-02,PROD-X100,55,55,55,55,55,0,0,0
PLOT-00000145,2026-01-29,FAC-MY,LINE-MY-01,PROD-X200,45,44,45,45,44,1,1,0
PLOT-00000146,2026-01-30,FAC-TW,LINE-TW-01,PROD-S100,37,36,37,37,36,1,1,0
PLOT-00000147,2026-01-30,FAC-TW,LINE-TW-02,PROD-X100,54,54,54,54,54,0,0,0
PLOT-00000148,2026-01-30,FAC-MX,LINE-MX-01,PROD-S100,38,34,38,38,34,4,1,2
PLOT-00000149,2026-01-30,FAC-MX,LINE-MX-02,PROD-X100,41,40,41,41,40,1,0,0
PLOT-00000150,2026-01-30,FAC-MY,LINE-MY-01,PROD-C100,39,37,39,39,37,2,1,0
PLOT-00000151,2026-01-31,FAC-TW,LINE-TW-01,PROD-S100,37,36,37,37,36,1,0,1
PLOT-00000152,2026-01-31,FAC-TW,LINE-TW-02,PROD-N100,46,45,46,46,45,1,0,0
PLOT-00000153,2026-01-31,FAC-MX,LINE-MX-01,PROD-X100,49,47,49,49,47,2,1,0
PLOT-00000154,2026-01-31,FAC-MX,LINE-MX-02,PROD-N100,44,43,44,44,43,1,0,1
PLOT-00000155,2026-01-31,FAC-MY,LINE-MY-01,PROD-N100,55,51,55,55,51,4,0,0
PLOT-00000156,2026-02-01,FAC-TW,LINE-TW-01,PROD-X200,52,52,52,52,52,0,0,0
PLOT-00000157,2026-02-01,FAC-TW,LINE-TW-02,PROD-X100,38,36,38,38,36,2,0,1
PLOT-00000158,2026-02-01,FAC-MX,LINE-MX-01,PROD-S100,39,38,39,39,38,1,1,0
PLOT-00000159,2026-02-01,FAC-MX,LINE-MX-02,PROD-X100,38,36,38,38,36,2,0,0
PLOT-00000160,2026-02-01,FAC-MY,LINE-MY-01,PROD-N100,39,39,39,39,39,0,0,0
PLOT-00000161,2026-02-01,FAC-MY,LINE-MY-03,PROD-X200,54,41,54,54,41,13,7,2
PLOT-00000162,2026-02-02,FAC-TW,LINE-TW-01,PROD-X100,45,44,45,45,44,1,0,0
PLOT-00000163,2026-02-02,FAC-TW,LINE-TW-02,PROD-X100,55,54,55,55,54,1,1,0
PLOT-00000164,2026-02-02,FAC-MX,LINE-MX-01,PROD-N100,51,47,51,51,47,4,2,0
PLOT-00000165,2026-02-02,FAC-MX,LINE-MX-02,PROD-X100,36,34,36,36,34,2,1,1
PLOT-00000166,2026-02-02,FAC-MY,LINE-MY-01,PROD-X100,48,46,48,48,46,2,2,0
PLOT-00000167,2026-02-02,FAC-MY,LINE-MY-03,PROD-S100,36,36,36,36,36,0,0,0
PLOT-00000168,2026-02-03,FAC-TW,LINE-TW-01,PROD-X100,39,38,39,39,38,1,1,0
PLOT-00000169,2026-02-03,FAC-TW,LINE-TW-02,PROD-C100,43,43,43,43,43,0,0,0
PLOT-00000170,2026-02-03,FAC-MX,LINE-MX-01,PROD-X100,49,47,49,49,47,2,1,1
PLOT-00000171,2026-02-03,FAC-MX,LINE-MX-02,PROD-X200,48,48,48,48,48,0,0,0
PLOT-00000172,2026-02-03,FAC-MY,LINE-MY-01,PROD-C100,38,37,38,38,37,1,0,1
PLOT-00000173,2026-02-03,FAC-MY,LINE-MY-03,PROD-X100,39,34,39,39,34,5,2,2
PLOT-00000174,2026-02-04,FAC-TW,LINE-TW-01,PROD-X200,46,44,46,46,44,2,0,0
PLOT-00000175,2026-02-04,FAC-TW,LINE-TW-02,PROD-C100,39,39,39,39,39,0,0,0
PLOT-00000176,2026-02-04,FAC-MX,LINE-MX-01,PROD-X100,36,36,36,36,36,0,0,0
PLOT-00000177,2026-02-04,FAC-MX,LINE-MX-02,PROD-X100,36,35,36,36,35,1,0,0
PLOT-00000178,2026-02-04,FAC-MY,LINE-MY-01,PROD-S100,41,39,41,41,39,2,1,0
PLOT-00000179,2026-02-04,FAC-MY,LINE-MY-03,PROD-N100,38,34,38,38,34,4,2,0
PLOT-00000180,2026-02-05,FAC-TW,LINE-TW-01,PROD-X200,52,49,52,52,49,3,2,0
PLOT-00000181,2026-02-05,FAC-TW,LINE-TW-02,PROD-N100,48,47,48,48,47,1,0,0
PLOT-00000182,2026-02-05,FAC-MX,LINE-MX-01,PROD-S100,39,37,39,39,37,2,0,0
PLOT-00000183,2026-02-05,FAC-MX,LINE-MX-02,PROD-S100,42,41,42,42,41,1,1,0
PLOT-00000184,2026-02-05,FAC-MY,LINE-MY-01,PROD-S100,40,39,40,40,39,1,1,0
PLOT-00000185,2026-02-05,FAC-MY,LINE-MY-03,PROD-S100,35,31,35,35,31,4,0,2
PLOT-00000186,2026-02-06,FAC-TW,LINE-TW-01,PROD-X100,45,45,45,45,45,0,0,0
PLOT-00000187,2026-02-06,FAC-TW,LINE-TW-02,PROD-N100,48,47,48,48,47,1,1,0
PLOT-00000188,2026-02-06,FAC-MX,LINE-MX-01,PROD-N100,42,38,42,42,38,4,2,0
PLOT-00000189,2026-02-06,FAC-MX,LINE-MX-02,PROD-X100,38,35,38,38,35,3,1,1
PLOT-00000190,2026-02-06,FAC-MY,LINE-MY-01,PROD-X200,36,34,36,36,34,2,1,0
PLOT-00000191,2026-02-06,FAC-MY,LINE-MY-03,PROD-S100,42,35,42,42,35,7,5,2
PLOT-00000192,2026-02-07,FAC-TW,LINE-TW-01,PROD-X100,49,49,49,49,49,0,0,0
PLOT-00000193,2026-02-07,FAC-TW,LINE-TW-02,PROD-X100,42,40,42,42,40,2,2,0
PLOT-00000194,2026-02-07,FAC-MX,LINE-MX-01,PROD-X100,41,39,41,41,39,2,1,0
PLOT-00000195,2026-02-07,FAC-MX,LINE-MX-02,PROD-X100,43,41,43,43,41,2,1,1
PLOT-00000196,2026-02-07,FAC-MY,LINE-MY-01,PROD-S100,43,40,43,43,40,3,3,0
PLOT-00000197,2026-02-07,FAC-MY,LINE-MY-03,PROD-X200,51,41,51,51,41,10,8,1
PLOT-00000198,2026-02-08,FAC-TW,LINE-TW-01,PROD-X200,52,49,52,52,49,3,3,0
PLOT-00000199,2026-02-08,FAC-TW,LINE-TW-02,PROD-X100,35,33,35,35,33,2,1,0
PLOT-00000200,2026-02-08,FAC-MX,LINE-MX-01,PROD-X100,43,39,43,43,39,4,4,0
PLOT-00000201,2026-02-08,FAC-MX,LINE-MX-02,PROD-X100,43,41,43,43,41,2,1,1
PLOT-00000202,2026-02-08,FAC-MY,LINE-MY-01,PROD-X100,54,53,54,54,53,1,0,0
PLOT-00000203,2026-02-08,FAC-MY,LINE-MY-03,PROD-C100,45,42,45,45,42,3,3,0
PLOT-00000204,2026-02-09,FAC-TW,LINE-TW-01,PROD-X200,51,48,51,51,48,3,2,1
PLOT-00000205,2026-02-09,FAC-TW,LINE-TW-02,PROD-X100,53,51,53,53,51,2,1,0
PLOT-00000206,2026-02-09,FAC-MX,LINE-MX-01,PROD-X100,36,34,36,36,34,2,1,0
PLOT-00000207,2026-02-09,FAC-MX,LINE-MX-02,PROD-C100,35,34,35,35,34,1,1,0
PLOT-00000208,2026-02-09,FAC-MY,LINE-MY-01,PROD-C100,52,52,52,52,52,0,0,0
PLOT-00000209,2026-02-09,FAC-MY,LINE-MY-03,PROD-N100,41,36,41,41,36,5,4,1
PLOT-00000210,2026-02-10,FAC-TW,LINE-TW-01,PROD-X200,37,36,37,37,36,1,1,0
PLOT-00000211,2026-02-10,FAC-TW,LINE-TW-02,PROD-S100,45,45,45,45,45,0,0,0
PLOT-00000212,2026-02-10,FAC-MX,LINE-MX-01,PROD-X200,38,34,38,38,34,4,2,0
PLOT-00000213,2026-02-10,FAC-MX,LINE-MX-02,PROD-C100,44,42,44,44,42,2,0,1
PLOT-00000214,2026-02-10,FAC-MY,LINE-MY-01,PROD-C100,48,46,48,48,46,2,2,0
PLOT-00000215,2026-02-10,FAC-MY,LINE-MY-03,PROD-X200,44,42,44,44,42,2,1,0
PLOT-00000216,2026-02-11,FAC-TW,LINE-TW-01,PROD-C100,41,40,41,41,40,1,0,0
PLOT-00000217,2026-02-11,FAC-TW,LINE-TW-02,PROD-X200,47,47,47,47,47,0,0,0
PLOT-00000218,2026-02-11,FAC-MX,LINE-MX-01,PROD-X200,40,35,40,40,35,5,3,1
PLOT-00000219,2026-02-11,FAC-MX,LINE-MX-02,PROD-X200,44,43,44,44,43,1,1,0
PLOT-00000220,2026-02-11,FAC-MY,LINE-MY-01,PROD-C100,35,32,35,35,32,3,2,0
PLOT-00000221,2026-02-11,FAC-MY,LINE-MY-03,PROD-X200,41,36,41,41,36,5,4,1
PLOT-00000222,2026-02-12,FAC-TW,LINE-TW-01,PROD-X200,53,53,53,53,53,0,0,0
PLOT-00000223,2026-02-12,FAC-TW,LINE-TW-02,PROD-C100,45,43,45,45,43,2,1,1
PLOT-00000224,2026-02-12,FAC-MX,LINE-MX-01,PROD-X100,49,47,49,49,47,2,0,1
PLOT-00000225,2026-02-12,FAC-MX,LINE-MX-02,PROD-X200,51,49,51,51,49,2,0,0
PLOT-00000226,2026-02-12,FAC-MY,LINE-MY-01,PROD-C100,40,39,40,40,39,1,1,0
PLOT-00000227,2026-02-12,FAC-MY,LINE-MY-03,PROD-N100,44,40,44,44,40,4,3,1
PLOT-00000228,2026-02-13,FAC-TW,LINE-TW-01,PROD-X200,55,55,55,55,55,0,0,0
PLOT-00000229,2026-02-13,FAC-TW,LINE-TW-02,PROD-C100,37,37,37,37,37,0,0,0
PLOT-00000230,2026-02-13,FAC-MX,LINE-MX-01,PROD-N100,42,41,42,42,41,1,1,0
PLOT-00000231,2026-02-13,FAC-MX,LINE-MX-02,PROD-X200,42,39,42,42,39,3,1,1
PLOT-00000232,2026-02-13,FAC-MY,LINE-MY-01,PROD-S100,39,39,39,39,39,0,0,0
PLOT-00000233,2026-02-13,FAC-MY,LINE-MY-03,PROD-X100,42,38,42,42,38,4,3,0
PLOT-00000234,2026-02-14,FAC-TW,LINE-TW-01,PROD-S100,54,52,54,54,52,2,1,0
PLOT-00000235,2026-02-14,FAC-TW,LINE-TW-02,PROD-N100,37,37,37,37,37,0,0,0
PLOT-00000236,2026-02-14,FAC-MX,LINE-MX-01,PROD-X100,55,54,55,55,54,1,1,0
PLOT-00000237,2026-02-14,FAC-MX,LINE-MX-02,PROD-X200,47,43,47,47,43,4,3,1
PLOT-00000238,2026-02-14,FAC-MY,LINE-MY-01,PROD-C100,42,40,42,42,40,2,1,0
PLOT-00000239,2026-02-14,FAC-MY,LINE-MY-03,PROD-X100,35,33,35,35,33,2,1,0
PLOT-00000240,2026-02-15,FAC-TW,LINE-TW-01,PROD-N100,38,38,38,38,38,0,0,0
PLOT-00000241,2026-02-15,FAC-TW,LINE-TW-02,PROD-N100,42,42,42,42,42,0,0,0
PLOT-00000242,2026-02-15,FAC-MX,LINE-MX-01,PROD-X100,51,49,51,51,49,2,1,0
PLOT-00000243,2026-02-15,FAC-MX,LINE-MX-02,PROD-X100,52,52,52,52,52,0,0,0
PLOT-00000244,2026-02-15,FAC-MY,LINE-MY-01,PROD-X100,38,38,38,38,38,0,0,0
PLOT-00000245,2026-02-15,FAC-MY,LINE-MY-03,PROD-C100,49,43,49,49,43,6,4,2
PLOT-00000246,2026-02-16,FAC-TW,LINE-TW-01,PROD-C100,52,51,52,52,51,1,1,0
PLOT-00000247,2026-02-16,FAC-TW,LINE-TW-02,PROD-C100,49,49,49,49,49,0,0,0
PLOT-00000248,2026-02-16,FAC-MX,LINE-MX-01,PROD-X200,51,49,51,51,49,2,0,1
PLOT-00000249,2026-02-16,FAC-MX,LINE-MX-02,PROD-X100,52,50,52,52,50,2,1,0
PLOT-00000250,2026-02-16,FAC-MY,LINE-MY-01,PROD-C100,40,40,40,40,40,0,0,0
PLOT-00000251,2026-02-16,FAC-MY,LINE-MY-03,PROD-N100,50,46,50,50,46,4,2,1
