quality_event_id,event_date,event_timestamp,production_lot_id,factory_id,line_id,product_id,component_id,supplier_id,component_lot_id,defect_id,inspection_stage,event_quantity,is_first_pass_failure,is_rework,is_scrap,disposition
QEV-000000052,2026-01-08,2026-01-08T12:00:00,PLOT-00000039,FAC-MX,LINE-MX-02,PROD-C100,COMP-PWR,SUP-A,CLOT-A-PWR-20260108,DEF-VOLT,test,1,True,True,False,rework
QEV-000000053,2026-01-09,2026-01-09T12:00:00,PLOT-00000041,FAC-TW,LINE-TW-01,PROD-N100,COMP-PWR,SUP-A,CLOT-A-PWR-20260109,DEF-VOLT,test,1,True,False,False,fail
QEV-000000054,2026-01-09,2026-01-09T12:00:00,PLOT-00000041,FAC-TW,LINE-TW-01,PROD-N100,COMP-PWR,SUP-B,CLOT-B-PWR-20260109,DEF-VOLT,test,1,True,False,True,scrap
QEV-000000055,2026-01-09,2026-01-09T12:00:00,PLOT-00000042,FAC-TW,LINE-TW-02,PROD-X100,COMP-MAIN,SUP-H,CLOT-H-AIN-20260109,DEF-VOLT,test,1,True,True,False,rework
QEV-000000056,2026-01-09,2026-01-09T12:00:00,PLOT-00000042,FAC-TW,LINE-TW-02,PROD-X100,COMP-PWR,SUP-F,CLOT-F-PWR-20260109,DEF-VOLT,test,1,True,True,False,rework
QEV-000000057,2026-01-09,2026-01-09T12:00:00,PLOT-00000043,FAC-MX,LINE-MX-01,PROD-S100,COMP-MEM,SUP-A,CLOT-A-MEM-20260109,DEF-MEM,test,1,True,True,False,rework
QEV-000000058,2026-01-09,2026-01-09T12:00:00,PLOT-00000043,FAC-MX,LINE-MX-01,PROD-S100,COMP-STOR,SUP-E,CLOT-E-TOR-20260109,DEF-FUNC,test,1,True,False,False,fail
QEV-000000059,2026-01-09,2026-01-09T12:00:00,PLOT-00000044,FAC-MX,LINE-MX-02,PROD-N100,COMP-NET,SUP-G,CLOT-G-NET-20260109,DEF-FUNC,test,1,True,True,False,rework
QEV-000000060,2026-01-09,2026-01-09T12:00:00,PLOT-00000044,FAC-MX,LINE-MX-02,PROD-N100,COMP-PWR,SUP-G,CLOT-G-PWR-20260109,DEF-VOLT,test,1,True,True,False,rework
QEV-000000061,2026-01-09,2026-01-09T12:00:00,PLOT-00000044,FAC-MX,LINE-MX-02,PROD-N100,COMP-STOR,SUP-C,CLOT-C-TOR-20260109,DEF-ASSY,in_process,1,True,True,False,rework
QEV-000000062,2026-01-09,2026-01-09T12:00:00,PLOT-00000045,FAC-MY,LINE-MY-01,PROD-X100,COMP-NET,SUP-C,CLOT-C-NET-20260109,DEF-CONN,in_process,1,True,True,False,rework
QEV-000000063,2026-01-10,2026-01-10T12:00:00,PLOT-00000046,FAC-TW,LINE-TW-01,PROD-X200,COMP-COOL,SUP-C,CLOT-C-OOL-20260110,DEF-THERM,test,1,True,False,True,scrap
QEV-000000064,2026-01-10,2026-01-10T12:00:00,PLOT-00000048,FAC-MX,LINE-MX-01,PROD-X100,COMP-PWR,SUP-C,CLOT-C-PWR-20260110,DEF-CONN,in_process,1,True,True,False,rework
QEV-000000065,2026-01-10,2026-01-10T12:00:00,PLOT-00000048,FAC-MX,LINE-MX-01,PROD-X100,COMP-PWR,SUP-G,CLOT-G-PWR-20260110,DEF-VOLT,test,1,True,False,True,scrap
QEV-000000066,2026-01-10,2026-01-10T12:00:00,PLOT-00000049,FAC-MX,LINE-MX-02,PROD-X200,COMP-NET,SUP-A,CLOT-A-NET-20260110,DEF-FUNC,test,1,True,True,False,rework
QEV-000000067,2026-01-10,2026-01-10T12:00:00,PLOT-00000049,FAC-MX,LINE-MX-02,PROD-X200,COMP-PWR,SUP-B,CLOT-B-PWR-20260110,DEF-VOLT,test,1,True,False,False,fail
QEV-000000068,2026-01-10,2026-01-10T12:00:00,PLOT-00000050,FAC-MY,LINE-MY-01,PROD-C100,COMP-PWR,SUP-D,CLOT-D-PWR-20260110,DEF-FUNC,test,1,True,False,False,fail
QEV-000000069,2026-01-11,2026-01-11T12:00:00,PLOT-00000051,FAC-TW,LINE-TW-01,PROD-X200,COMP-MEM,SUP-C,CLOT-C-MEM-20260111,DEF-MEM,test,1,True,True,False,rework
QEV-000000070,2026-01-11,2026-01-11T12:00:00,PLOT-00000051,FAC-TW,LINE-TW-01,PROD-X200,COMP-PWR,SUP-G,CLOT-G-PWR-20260111,DEF-VOLT,test,1,True,False,False,fail
QEV-000000071,2026-01-11,2026-01-11T12:00:00,PLOT-00000053,FAC-MX,LINE-MX-01,PROD-X200,COMP-MAIN,SUP-D,CLOT-D-AIN-20260111,DEF-VOLT,test,1,True,True,False,rework
QEV-000000072,2026-01-11,2026-01-11T12:00:00,PLOT-00000054,FAC-MX,LINE-MX-02,PROD-C100,COMP-MAIN,SUP-G,CLOT-G-AIN-20260111,DEF-VOLT,test,1,True,False,True,scrap
QEV-000000073,2026-01-11,2026-01-11T12:00:00,PLOT-00000054,FAC-MX,LINE-MX-02,PROD-C100,COMP-MAIN,SUP-H,CLOT-H-AIN-20260111,DEF-VOLT,test,1,True,False,False,fail
QEV-000000074,2026-01-11,2026-01-11T12:00:00,PLOT-00000054,FAC-MX,LINE-MX-02,PROD-C100,COMP-PWR,SUP-G,CLOT-G-PWR-20260111,DEF-VOLT,test,1,True,True,False,rework
QEV-000000075,2026-01-11,2026-01-11T12:00:00,PLOT-00000055,FAC-MY,LINE-MY-01,PROD-X100,COMP-NET,SUP-F,CLOT-F-NET-20260111,DEF-ASSY,in_process,1,True,False,False,fail
QEV-000000076,2026-01-12,2026-01-12T12:00:00,PLOT-00000057,FAC-TW,LINE-TW-02,PROD-C100,COMP-NET,SUP-A,CLOT-A-NET-20260112,DEF-ASSY,in_process,1,True,False,False,fail
QEV-000000077,2026-01-12,2026-01-12T12:00:00,PLOT-00000058,FAC-MX,LINE-MX-01,PROD-X100,COMP-COOL,SUP-A,CLOT-A-OOL-20260112,DEF-THERM,test,1,True,True,False,rework
QEV-000000078,2026-01-12,2026-01-12T12:00:00,PLOT-00000058,FAC-MX,LINE-MX-01,PROD-X100,COMP-NET,SUP-C,CLOT-C-NET-20260112,DEF-CONN,in_process,1,True,False,False,fail
QEV-000000079,2026-01-12,2026-01-12T12:00:00,PLOT-00000058,FAC-MX,LINE-MX-01,PROD-X100,COMP-PWR,SUP-G,CLOT-G-PWR-20260112,DEF-FUNC,test,1,True,False,True,scrap
QEV-000000080,2026-01-12,2026-01-12T12:00:00,PLOT-00000059,FAC-MX,LINE-MX-02,PROD-X200,COMP-NET,SUP-E,CLOT-E-NET-20260112,DEF-FUNC,test,1,True,False,False,fail
QEV-000000081,2026-01-12,2026-01-12T12:00:00,PLOT-00000059,FAC-MX,LINE-MX-02,PROD-X200,COMP-STOR,SUP-G,CLOT-G-TOR-20260112,DEF-FUNC,test,1,True,True,False,rework
QEV-000000082,2026-01-13,2026-01-13T12:00:00,PLOT-00000062,FAC-TW,LINE-TW-02,PROD-C100,COMP-PWR,SUP-H,CLOT-H-PWR-20260113,DEF-VOLT,test,1,True,False,True,scrap
QEV-000000083,2026-01-13,2026-01-13T12:00:00,PLOT-00000063,FAC-MX,LINE-MX-01,PROD-C100,COMP-PWR,SUP-H,CLOT-H-PWR-20260113,DEF-FUNC,test,1,True,True,False,rework
QEV-000000084,2026-01-13,2026-01-13T12:00:00,PLOT-00000064,FAC-MX,LINE-MX-02,PROD-X100,COMP-MEM,SUP-G,CLOT-G-MEM-20260113,DEF-MEM,test,1,True,True,False,rework
QEV-000000085,2026-01-14,2026-01-14T12:00:00,PLOT-00000067,FAC-TW,LINE-TW-02,PROD-S100,COMP-COOL,SUP-D,CLOT-D-OOL-20260114,DEF-THERM,test,1,True,False,False,fail
QEV-000000086,2026-01-14,2026-01-14T12:00:00,PLOT-00000068,FAC-MX,LINE-MX-01,PROD-X200,COMP-COOL,SUP-B,CLOT-B-OOL-20260114,DEF-THERM,test,1,True,False,True,scrap
QEV-000000087,2026-01-14,2026-01-14T12:00:00,PLOT-00000068,FAC-MX,LINE-MX-01,PROD-X200,COMP-PWR,SUP-B,CLOT-B-PWR-20260114,DEF-VOLT,test,1,True,True,False,rework
QEV-000000088,2026-01-14,2026-01-14T12:00:00,PLOT-00000069,FAC-MX,LINE-MX-02,PROD-N100,COMP-NET,SUP-F,CLOT-F-NET-20260114,DEF-CONN,in_process,1,True,False,False,fail
QEV-000000089,2026-01-14,2026-01-14T12:00:00,PLOT-00000070,FAC-MY,LINE-MY-01,PROD-S100,COMP-MAIN,SUP-F,CLOT-F-AIN-20260114,DEF-VOLT,test,1,True,True,False,rework
QEV-000000090,2026-01-14,2026-01-14T12:00:00,PLOT-00000070,FAC-MY,LINE-MY-01,PROD-S100,COMP-PWR,SUP-B,CLOT-B-PWR-20260114,DEF-FUNC,test,1,True,False,False,fail
QEV-000000091,2026-01-15,2026-01-15T12:00:00,PLOT-00000072,FAC-TW,LINE-TW-02,PROD-X200,COMP-PWR,SUP-F,CLOT-F-PWR-20260115,DEF-CONN,in_process,1,True,False,False,fail
QEV-000000092,2026-01-15,2026-01-15T12:00:00,PLOT-00000073,FAC-MX,LINE-MX-01,PROD-X200,COMP-MEM,SUP-E,CLOT-E-MEM-20260115,DEF-MEM,test,1,True,True,False,rework
QEV-000000093,2026-01-15,2026-01-15T12:00:00,PLOT-00000074,FAC-MX,LINE-MX-02,PROD-S100,COMP-MAIN,SUP-A,CLOT-A-AIN-20260115,DEF-FUNC,test,1,True,True,False,rework
QEV-000000094,2026-01-15,2026-01-15T12:00:00,PLOT-00000074,FAC-MX,LINE-MX-02,PROD-S100,COMP-MEM,SUP-F,CLOT-F-MEM-20260115,DEF-FUNC,test,1,True,True,False,rework
QEV-000000095,2026-01-15,2026-01-15T12:00:00,PLOT-00000075,FAC-MY,LINE-MY-01,PROD-X200,COMP-PWR,SUP-E,CLOT-E-PWR-20260115,DEF-CONN,in_process,1,True,True,False,rework
QEV-000000096,2026-01-16,2026-01-16T12:00:00,PLOT-00000077,FAC-TW,LINE-TW-02,PROD-N100,COMP-COOL,SUP-F,CLOT-F-OOL-20260116,DEF-FUNC,test,1,True,False,False,fail
QEV-000000097,2026-01-16,2026-01-16T12:00:00,PLOT-00000077,FAC-TW,LINE-TW-02,PROD-N100,COMP-PWR,SUP-G,CLOT-G-PWR-20260116,DEF-VOLT,test,1,True,False,False,fail
QEV-000000098,2026-01-16,2026-01-16T12:00:00,PLOT-00000079,FAC-MX,LINE-MX-02,PROD-N100,COMP-NET,SUP-D,CLOT-D-NET-20260116,DEF-FUNC,test,1,True,False,False,fail
QEV-000000099,2026-01-16,2026-01-16T12:00:00,PLOT-00000080,FAC-MY,LINE-MY-01,PROD-X100,COMP-NET,SUP-C,CLOT-C-NET-20260116,DEF-FUNC,test,1,True,True,False,rework
QEV-000000100,2026-01-17,2026-01-17T12:00:00,PLOT-00000081,FAC-TW,LINE-TW-01,PROD-N100,COMP-COOL,SUP-G,CLOT-G-OOL-20260117,DEF-THERM,test,1,True,False,False,fail
QEV-000000101,2026-01-17,2026-01-17T12:00:00,PLOT-00000082,FAC-TW,LINE-TW-02,PROD-N100,COMP-PWR,SUP-G,CLOT-G-PWR-20260117,DEF-VOLT,test,1,True,False,False,fail
QEV-000000102,2026-01-17,2026-01-17T12:00:00,PLOT-00000083,FAC-MX,LINE-MX-01,PROD-X200,COMP-COOL,SUP-D,CLOT-D-OOL-20260117,DEF-THERM,test,1,True,False,False,fail
QEV-000000103,2026-01-17,2026-01-17T12:00:00,PLOT-00000083,FAC-MX,LINE-MX-01,PROD-X200,COMP-MEM,SUP-H,CLOT-H-MEM-20260117,DEF-MEM,test,1,True,False,False,fail
QEV-000000104,2026-01-17,2026-01-17T12:00:00,PLOT-00000083,FAC-MX,LINE-MX-01,PROD-X200,COMP-PWR,SUP-A,CLOT-A-PWR-20260117,DEF-VOLT,test,1,True,False,False,fail
QEV-000000105,2026-01-17,2026-01-17T12:00:00,PLOT-00000083,FAC-MX,LINE-MX-01,PROD-X200,COMP-PWR,SUP-D,CLOT-D-PWR-20260117,DEF-FUNC,test,1,True,False,True,scrap
QEV-000000106,2026-01-17,2026-01-17T12:00:00,PLOT-00000083,FAC-MX,LINE-MX-01,PROD-X200,COMP-STOR,SUP-G,CLOT-G-TOR-20260117,DEF-FUNC,test,1,True,True,False,rework
QEV-000000107,2026-01-17,2026-01-17T12:00:00,PLOT-00000084,FAC-MX,LINE-MX-02,PROD-X100,COMP-MAIN,SUP-C,CLOT-C-AIN-20260117,DEF-FUNC,test,1,True,True,False,rework
QEV-000000108,2026-01-17,2026-01-17T12:00:00,PLOT-00000084,FAC-MX,LINE-MX-02,PROD-X100,COMP-PWR,SUP-F,CLOT-F-PWR-20260117,DEF-VOLT,test,1,True,True,False,rework
QEV-000000109,2026-01-17,2026-01-17T12:00:00,PLOT-00000085,FAC-MY,LINE-MY-01,PROD-S100,COMP-COOL,SUP-F,CLOT-F-OOL-20260117,DEF-THERM,test,1,True,True,False,rework
QEV-000000110,2026-01-17,2026-01-17T12:00:00,PLOT-00000085,FAC-MY,LINE-MY-01,PROD-S100,COMP-MAIN,SUP-E,CLOT-E-AIN-20260117,DEF-FUNC,test,1,True,True,False,rework
QEV-000000111,2026-01-17,2026-01-17T12:00:00,PLOT-00000085,FAC-MY,LINE-MY-01,PROD-S100,COMP-PWR,SUP-B,CLOT-B-PWR-20260117,DEF-VOLT,test,1,True,True,False,rework
QEV-000000112,2026-01-17,2026-01-17T12:00:00,PLOT-00000085,FAC-MY,LINE-MY-01,PROD-S100,COMP-STOR,SUP-B,CLOT-B-TOR-20260117,DEF-ASSY,in_process,1,True,False,False,fail
QEV-000000113,2026-01-18,2026-01-18T12:00:00,PLOT-00000086,FAC-TW,LINE-TW-01,PROD-S100,COMP-MEM,SUP-C,CLOT-C-MEM-20260118,DEF-CONN,in_process,1,True,True,False,rework
QEV-000000114,2026-01-18,2026-01-18T12:00:00,PLOT-00000087,FAC-TW,LINE-TW-02,PROD-N100,COMP-COOL,SUP-B,CLOT-B-OOL-20260118,DEF-FUNC,test,1,True,True,False,rework
QEV-000000115,2026-01-18,2026-01-18T12:00:00,PLOT-00000087,FAC-TW,LINE-TW-02,PROD-N100,COMP-PWR,SUP-D,CLOT-D-PWR-20260118,DEF-VOLT,test,1,True,False,False,fail
QEV-000000116,2026-01-18,2026-01-18T12:00:00,PLOT-00000088,FAC-MX,LINE-MX-01,PROD-C100,COMP-COOL,SUP-A,CLOT-A-OOL-20260118,DEF-FUNC,test,1,True,False,True,scrap
QEV-000000117,2026-01-18,2026-01-18T12:00:00,PLOT-00000088,FAC-MX,LINE-MX-01,PROD-C100,COMP-MEM,SUP-H,CLOT-H-MEM-20260118,DEF-FUNC,test,1,True,True,False,rework
QEV-000000118,2026-01-18,2026-01-18T12:00:00,PLOT-00000088,FAC-MX,LINE-MX-01,PROD-C100,COMP-PWR,SUP-C,CLOT-C-PWR-20260118,DEF-VOLT,test,1,True,True,False,rework
QEV-000000119,2026-01-18,2026-01-18T12:00:00,PLOT-00000088,FAC-MX,LINE-MX-01,PROD-C100,COMP-PWR,SUP-F,CLOT-F-PWR-20260118,DEF-VOLT,test,1,True,True,False,rework
QEV-000000120,2026-01-18,2026-01-18T12:00:00,PLOT-00000089,FAC-MX,LINE-MX-02,PROD-S100,COMP-MEM,SUP-D,CLOT-D-MEM-20260118,DEF-CONN,in_process,1,True,False,False,fail
QEV-000000121,2026-01-18,2026-01-18T12:00:00,PLOT-00000089,FAC-MX,LINE-MX-02,PROD-S100,COMP-PWR,SUP-B,CLOT-B-PWR-20260118,DEF-VOLT,test,1,True,True,False,rework
QEV-000000122,2026-01-18,2026-01-18T12:00:00,PLOT-00000089,FAC-MX,LINE-MX-02,PROD-S100,COMP-PWR,SUP-G,CLOT-G-PWR-20260118,DEF-VOLT,test,1,True,True,False,rework
QEV-000000123,2026-01-18,2026-01-18T12:00:00,PLOT-00000090,FAC-MY,LINE-MY-01,PROD-X200,COMP-MEM,SUP-B,CLOT-B-MEM-20260118,DEF-FUNC,test,1,True,False,True,scrap
QEV-000000124,2026-01-18,2026-01-18T12:00:00,PLOT-00000090,FAC-MY,LINE-MY-01,PROD-X200,COMP-STOR,SUP-D,CLOT-D-TOR-20260118,DEF-FUNC,test,1,True,False,False,fail
